content,score,upvotes
cox gozel ve rahatdi,5,0
proqram deyil zibildirbağlanmırçıxmaq istəyirsən proqramdan çıxa bilmirsənaçıq qalır,1,0
cox  gozel proqramdi,5,2
ödəniş etmək lazım olanda daxil olmaq olmurproqrama daxil olmaq çətin olursürət zəifdir,2,1
çox rahatdı ödənişləri rahat etmək olur isdənilən bankamatdanda nagdlaşdıra bilirəm,5,0
men çoxda sevmedim çox buglu xetalı ve programin kodlarinda çox açix var hacklenme ehtimali var ,2,0
çox zəif işləyir,1,0
əziyyəti keçən hər kəsdən allah razı olsun,5,0
yaxşı proqramdı,5,0
eladir bilesuvara getdim geldim butun radarlari zadi hamsini gosterdi super,5,2
əla,5,0
zerdab filialinda qosuldum,5,3
yaxşıdı,5,0
çox gözəlk,5,0
arada texniki problemlər olmasa rahat və etibarlı,5,0
əla,5,0
proqram tez tez yanlışlar edir tez tez durdurulur bəzən köçürmələrdən sonra məbləğ dəyişmir istədiyimiz vaxt bir banka girə bilmirik çünki sisteminiz tez tez çökür üstəlik kart və hesablar üzərində tam adminlik yoxdurbelə ki 3d security nömrəmi dəyişmək üçün gərək bankla əlaqə saxlayam bu problemlər aradan qaldırılsa bəlkı proqram olardı ama hazırda çox səviyyəsiz proqramdır,1,0
niye meni bl0k etmisniz,5,0
sistemde tez tez prablem yaranir 1 ulduzda coxdu blin,1,0
yaxsi proqramdi,4,0
həqiqətən çox bəyənirəm bu tətbiqi,5,0
ela uğurlar,5,0
siz şükür eleyinki bunu duzeldene bu ol proqram olmasa ne alıb ne satarduz hörmətimiz budu bu arada bu proqram yaxşi bir proqramdır saq olun var olun ,5,0
cox eladir eladir,5,0
çox sağollllllll,5,2
əla,5,0
əla,5,0
superdi beyenirem birbank,5,0
başınıza kül bu nədi iyrenc 3 saatdi yazirki endirmək ucyn gözləyirtəpənizə dəysin donuzdar,1,0
yaxşıdı,5,0
ela tetbiqdir,5,0
şifre ne yazırsız diyerdizda ne yazıram yalnışdı diyir,1,0
əla,5,0
əla,5,0
əladir,5,0
ashsb2 yazin bonus əldə edin,5,0
əladır ancaq ki sms həftəliy edincə mb nı heç olmasa 34 günlüy edin,5,7
çox gözəl,5,1
dünəndən qeydiyyatdan keçirəm kod gəlmir  internet var amma gəlmir xaiş edirəm bunu düzəldin tez bir zamanda çox sağ olun,3,0
əla,5,0
salam mən səhvən bir bank xidmətinə sildim yenidən yüklədim yazılır ki bloklanmisiz nə edim,5,0
çox rahat,5,1
xoş,5,0
təkmilləşdirməyə ehtiyac var,1,0
berbat işime yaramir niye ehmedliye çatdırılma yoxdu biz adam deyiliiikk,1,1
bəyəndim,5,0
cox gozəldi tovsuyə edirəm,5,0
çox gözəl praqramdı bəyəndim,5,0
əla,5,0
gözəl tətbiqdir lakin təəssüf ki davam etmək üçün yenilənmə tələb edir yeniləmək üçün necə etməliyəm təşəkkürlər,4,0
əla,5,5
könülu atdm,5,0
xoşuma geldi,5,0
əla,5,0
proqram çöküb lütfən bunu aradan qaldırın xidmət ürəkaçan deyil lütfən xidmət və proqramla bağlı bir neçə yeniləmə edəsiz təşəkkür edirəm,1,0
əla,5,0
əla,5,0
hər dəfə tətbiqə daxil olarkən hal hazırda server cavab vermir problemi ilə rastlaşıram,2,1
əla,5,0
əla,5,0
çox gozel,5,0
cox bombadi cashback aktif olsa bomba olar,5,2
əla proqramdır,5,0
əla,5,0
çox gözəl hamıya tövsüye edirem,5,1
əla,5,9
cox gozel,5,0
salam piraqrami sildim təzədən yüklədim nömrəni tapmır neden olar,3,0
hər dəfə sual verəndə təəssüf ki bu mümkün deyil cavabı gəlirçox pisbərbad,1,2
əla tətbiqdi,5,0
çox gözəldi,5,0
cox serfeli ve cox gozel di,5,0
